,date,year,month,day,state,tests,cases,hospitalizations,deaths,month_name
221,2020-03-03,2020,3,3,NJ,0,0,0,0,March
222,2020-03-03,2020,3,3,NY,1,1,0,0,March
223,2020-03-03,2020,3,3,PA,0,0,0,0,March
224,2020-03-03,2020,3,3,RI,1,0,0,0,March
225,2020-03-03,2020,3,3,TX,0,0,0,0,March
226,2020-03-03,2020,3,3,VT,0,0,0,0,March
227,2020-03-03,2020,3,3,VA,1,0,0,0,March
228,2020-03-03,2020,3,3,WA,226,16,0,3,March
229,2020-03-03,2020,3,3,WI,0,0,0,0,March
230,2020-03-03,2020,3,3,WY,0,0,0,0,March
231,2020-03-04,2020,3,4,AZ,0,0,0,0,March
232,2020-03-04,2020,3,4,CA,0,0,0,0,March
233,2020-03-04,2020,3,4,CO,0,0,0,0,March
234,2020-03-04,2020,3,4,CT,12,0,0,0,March
235,2020-03-04,2020,3,4,FL,3,1,0,0,March
236,2020-03-04,2020,3,4,GA,0,0,0,0,March
237,2020-03-04,2020,3,4,HI,0,0,0,0,March
238,2020-03-04,2020,3,4,IL,0,0,0,0,March
239,2020-03-04,2020,3,4,IN,4,0,0,0,March
240,2020-03-04,2020,3,4,MA,22,2,0,0,March
241,2020-03-04,2020,3,4,MI,0,24,0,0,March
242,2020-03-04,2020,3,4,NE,0,0,0,0,March
243,2020-03-04,2020,3,4,NH,0,0,0,0,March
244,2020-03-04,2020,3,4,NJ,0,0,0,0,March
245,2020-03-04,2020,3,4,NY,9,0,0,0,March
246,2020-03-04,2020,3,4,NC,0,0,0,0,March
247,2020-03-04,2020,3,4,OR,0,0,0,0,March
248,2020-03-04,2020,3,4,PA,5,0,0,0,March
249,2020-03-04,2020,3,4,RI,2,0,0,0,March
250,2020-03-04,2020,3,4,SC,0,0,0,0,March
251,2020-03-04,2020,3,4,TX,14,0,0,0,March
252,2020-03-04,2020,3,4,VT,3,0,0,0,March
253,2020-03-04,2020,3,4,VA,1,0,0,0,March
254,2020-03-04,2020,3,4,WA,251,34,0,2,March
255,2020-03-04,2020,3,4,WI,0,1,0,0,March
256,2020-03-04,2020,3,4,WY,3,0,0,0,March
257,2020-03-05,2020,3,5,AZ,30,0,1,0,March
258,2020-03-05,2020,3,5,CA,0,0,0,0,March
259,2020-03-05,2020,3,5,CO,0,0,0,0,March
260,2020-03-05,2020,3,5,CT,12,0,0,0,March
261,2020-03-05,2020,3,5,FL,19,4,0,0,March
262,2020-03-05,2020,3,5,GA,0,0,0,0,March
263,2020-03-05,2020,3,5,HI,1,0,0,0,March
264,2020-03-05,2020,3,5,IL,0,1,0,0,March
265,2020-03-05,2020,3,5,IN,5,0,0,0,March
266,2020-03-05,2020,3,5,MD,0,0,0,0,March
267,2020-03-05,2020,3,5,MA,36,0,0,0,March
268,2020-03-05,2020,3,5,MI,0,26,0,0,March
269,2020-03-05,2020,3,5,NE,18,0,0,0,March
270,2020-03-05,2020,3,5,NV,0,0,0,0,March
271,2020-03-05,2020,3,5,NH,3,0,0,0,March
272,2020-03-05,2020,3,5,NJ,2,2,0,0,March
273,2020-03-05,2020,3,5,NM,0,0,0,0,March
274,2020-03-05,2020,3,5,NY,20,2,0,0,March
275,2020-03-05,2020,3,5,NC,0,0,0,0,March
276,2020-03-05,2020,3,5,OH,0,0,0,0,March
277,2020-03-05,2020,3,5,OR,0,3,0,0,March
278,2020-03-05,2020,3,5,PA,2,0,0,0,March
279,2020-03-05,2020,3,5,RI,12,1,0,0,March
280,2020-03-05,2020,3,5,SC,0,0,0,0,March
281,2020-03-05,2020,3,5,TN,0,0,0,0,March
282,2020-03-05,2020,3,5,TX,930,0,0,0,March
283,2020-03-05,2020,3,5,VT,3,0,0,0,March
284,2020-03-05,2020,3,5,VA,1,0,0,0,March
285,2020-03-05,2020,3,5,WA,374,24,0,4,March
286,2020-03-05,2020,3,5,WI,5,0,0,0,March
287,2020-03-05,2020,3,5,WY,4,0,0,0,March
288,2020-03-05,2020,3,5,,0,0,0,0,March
289,2020-03-06,2020,3,6,AK,0,0,0,0,March
290,2020-03-06,2020,3,6,AZ,17,1,1,0,March
291,2020-03-06,2020,3,6,AR,0,0,0,0,March
292,2020-03-06,2020,3,6,CA,7,7,0,0,March
293,2020-03-06,2020,3,6,CO,0,6,0,0,March
294,2020-03-06,2020,3,6,CT,15,0,0,0,March
295,2020-03-06,2020,3,6,DE,0,0,0,0,March
296,2020-03-06,2020,3,6,FL,27,1,0,0,March
297,2020-03-06,2020,3,6,GA,0,0,0,0,March
298,2020-03-06,2020,3,6,HI,4,0,0,0,March
299,2020-03-06,2020,3,6,IL,0,0,0,0,March
300,2020-03-06,2020,3,6,IN,2,1,0,0,March
301,2020-03-06,2020,3,6,IA,0,0,0,0,March
302,2020-03-06,2020,3,6,KS,0,0,0,0,March
303,2020-03-06,2020,3,6,KY,0,0,0,0,March
304,2020-03-06,2020,3,6,MD,0,3,0,0,March
305,2020-03-06,2020,3,6,MA,49,6,0,0,March
306,2020-03-06,2020,3,6,MI,0,40,0,0,March
307,2020-03-06,2020,3,6,MN,0,0,0,0,March
308,2020-03-06,2020,3,6,NE,6,0,0,0,March
309,2020-03-06,2020,3,6,NV,16,2,0,0,March
310,2020-03-06,2020,3,6,NH,28,0,0,0,March
311,2020-03-06,2020,3,6,NJ,2,2,0,0,March
312,2020-03-06,2020,3,6,NM,10,0,0,0,March
313,2020-03-06,2020,3,6,NY,92,22,0,0,March
314,2020-03-06,2020,3,6,NC,0,1,0,0,March
315,2020-03-06,2020,3,6,OH,3,0,0,0,March
316,2020-03-06,2020,3,6,OR,0,0,0,0,March
317,2020-03-06,2020,3,6,PA,4,2,0,0,March
318,2020-03-06,2020,3,6,RI,4,0,0,0,March
319,2020-03-06,2020,3,6,SC,0,0,0,0,March
320,2020-03-06,2020,3,6,TN,0,0,0,0,March
321,2020-03-06,2020,3,6,TX,1286,5,0,0,March
322,2020-03-06,2020,3,6,VT,4,0,0,0,March
323,2020-03-06,2020,3,6,VA,2,0,0,0,March
324,2020-03-06,2020,3,6,WA,511,38,0,6,March
325,2020-03-06,2020,3,6,WV,0,0,0,0,March
326,2020-03-06,2020,3,6,WI,9,0,0,0,March
327,2020-03-06,2020,3,6,WY,0,0,0,0,March
328,2020-03-06,2020,3,6,,2,0,0,0,March
329,2020-03-07,2020,3,7,AL,0,0,0,0,March
330,2020-03-07,2020,3,7,AK,4,0,0,0,March
331,2020-03-07,2020,3,7,AZ,37,2,0,0,March
332,2020-03-07,2020,3,7,AR,0,0,0,0,March
333,2020-03-07,2020,3,7,CA,9,9,0,0,March
334,2020-03-07,2020,3,7,CO,0,0,0,0,March
335,2020-03-07,2020,3,7,CT,13,0,0,0,March
336,2020-03-07,2020,3,7,DE,0,0,0,0,March
337,2020-03-07,2020,3,7,FL,48,0,0,0,March
338,2020-03-07,2020,3,7,GA,0,4,0,0,March
339,2020-03-07,2020,3,7,HI,0,1,0,0,March
340,2020-03-07,2020,3,7,ID,0,0,0,0,March
341,2020-03-07,2020,3,7,IL,0,1,0,0,March
342,2020-03-07,2020,3,7,IN,8,0,0,0,March
343,2020-03-07,2020,3,7,IA,0,0,0,0,March
344,2020-03-07,2020,3,7,KS,7,0,0,0,March
345,2020-03-07,2020,3,7,KY,3,1,0,0,March
346,2020-03-07,2020,3,7,LA,0,0,0,0,March
347,2020-03-07,2020,3,7,ME,0,0,0,0,March
348,2020-03-07,2020,3,7,MD,0,0,0,0,March
349,2020-03-07,2020,3,7,MA,100,5,0,0,March
350,2020-03-07,2020,3,7,MI,0,48,0,0,March
351,2020-03-07,2020,3,7,MN,13,1,0,0,March
352,2020-03-07,2020,3,7,MS,0,0,0,0,March
353,2020-03-07,2020,3,7,MO,0,0,0,0,March
354,2020-03-07,2020,3,7,MT,0,0,0,0,March
355,2020-03-07,2020,3,7,NE,7,1,0,0,March
356,2020-03-07,2020,3,7,NV,25,1,0,0,March
357,2020-03-07,2020,3,7,NH,9,0,0,0,March
358,2020-03-07,2020,3,7,NJ,0,0,0,0,March
359,2020-03-07,2020,3,7,NM,0,0,0,0,March
360,2020-03-07,2020,3,7,NY,66,11,0,0,March
361,2020-03-07,2020,3,7,NC,0,0,0,0,March
362,2020-03-07,2020,3,7,ND,0,0,0,0,March
363,2020-03-07,2020,3,7,OH,2,0,0,0,March
364,2020-03-07,2020,3,7,OK,0,0,0,0,March
365,2020-03-07,2020,3,7,OR,0,0,0,0,March
366,2020-03-07,2020,3,7,PA,16,2,0,0,March
367,2020-03-07,2020,3,7,RI,13,0,0,0,March
368,2020-03-07,2020,3,7,SC,5,2,0,0,March
369,2020-03-07,2020,3,7,SD,0,0,0,0,March
370,2020-03-07,2020,3,7,TN,0,0,0,0,March
371,2020-03-07,2020,3,7,TX,24,0,0,0,March
372,2020-03-07,2020,3,7,UT,0,0,0,0,March
373,2020-03-07,2020,3,7,VT,7,0,0,0,March
374,2020-03-07,2020,3,7,VA,2,0,0,0,March
375,2020-03-07,2020,3,7,WA,425,51,0,1,March
376,2020-03-07,2020,3,7,WV,0,0,0,0,March
377,2020-03-07,2020,3,7,WI,10,0,0,0,March
378,2020-03-07,2020,3,7,WY,0,0,0,0,March
379,2020-03-07,2020,3,7,,0,0,0,0,March
380,2020-03-08,2020,3,8,AL,0,0,0,0,March
381,2020-03-08,2020,3,8,AK,2,0,0,0,March
382,2020-03-08,2020,3,8,AZ,13,0,0,0,March
383,2020-03-08,2020,3,8,AR,0,0,0,0,March
384,2020-03-08,2020,3,8,CA,19,19,0,0,March
385,2020-03-08,2020,3,8,CO,0,1,0,0,March
386,2020-03-08,2020,3,8,CT,23,1,0,0,March
387,2020-03-08,2020,3,8,DE,0,0,0,0,March
388,2020-03-08,2020,3,8,FL,27,4,0,0,March
389,2020-03-08,2020,3,8,GA,0,1,0,0,March
390,2020-03-08,2020,3,8,HI,2,0,0,0,March
391,2020-03-08,2020,3,8,ID,0,0,0,0,March
392,2020-03-08,2020,3,8,IL,0,0,0,0,March
393,2020-03-08,2020,3,8,IN,6,1,0,0,March
394,2020-03-08,2020,3,8,IA,0,0,0,0,March
395,2020-03-08,2020,3,8,KS,1,1,0,0,March
396,2020-03-08,2020,3,8,KY,4,0,0,0,March
397,2020-03-08,2020,3,8,LA,5,0,0,0,March
398,2020-03-08,2020,3,8,ME,0,0,0,0,March
399,2020-03-08,2020,3,8,MD,0,0,0,0,March
400,2020-03-08,2020,3,8,MA,61,0,0,0,March
401,2020-03-08,2020,3,8,MI,0,63,0,0,March
402,2020-03-08,2020,3,8,MN,0,0,0,0,March
403,2020-03-08,2020,3,8,MS,0,0,0,0,March
404,2020-03-08,2020,3,8,MO,8,1,0,0,March
405,2020-03-08,2020,3,8,MT,0,0,0,0,March
406,2020-03-08,2020,3,8,NE,13,0,0,0,March
407,2020-03-08,2020,3,8,NV,30,0,0,0,March
408,2020-03-08,2020,3,8,NH,30,2,0,0,March
409,2020-03-08,2020,3,8,NJ,33,2,0,0,March
410,2020-03-08,2020,3,8,NM,36,0,0,0,March
411,2020-03-08,2020,3,8,NY,200,24,0,0,March
412,2020-03-08,2020,3,8,NC,0,0,0,0,March
413,2020-03-08,2020,3,8,ND,0,0,0,0,March
414,2020-03-08,2020,3,8,OH,1,0,0,0,March
415,2020-03-08,2020,3,8,OK,8,0,0,0,March
416,2020-03-08,2020,3,8,OR,0,4,0,0,March
417,2020-03-08,2020,3,8,PA,12,2,0,0,March
418,2020-03-08,2020,3,8,RI,19,0,0,0,March
419,2020-03-08,2020,3,8,SC,0,0,0,0,March
420,2020-03-08,2020,3,8,SD,0,0,0,0,March
421,2020-03-08,2020,3,8,TN,0,2,0,0,March
422,2020-03-08,2020,3,8,TX,8,0,0,0,March
423,2020-03-08,2020,3,8,UT,11,0,0,0,March
424,2020-03-08,2020,3,8,VT,9,1,0,0,March
425,2020-03-08,2020,3,8,VA,5,2,0,0,March
426,2020-03-08,2020,3,8,WA,540,38,0,4,March
427,2020-03-08,2020,3,8,WV,0,0,0,0,March
428,2020-03-08,2020,3,8,WI,0,0,0,0,March
429,2020-03-08,2020,3,8,WY,1,0,0,0,March
430,2020-03-08,2020,3,8,,3,1,0,0,March
431,2020-03-09,2020,3,9,AL,0,0,0,0,March
432,2020-03-09,2020,3,9,AK,9,0,1,0,March
433,2020-03-09,2020,3,9,AZ,17,0,2,0,March
434,2020-03-09,2020,3,9,AR,6,0,0,0,March
435,2020-03-09,2020,3,9,CA,254,26,0,0,March
436,2020-03-09,2020,3,9,CO,0,3,0,0,March
437,2020-03-09,2020,3,9,CT,35,0,0,0,March
438,2020-03-09,2020,3,9,DE,0,0,0,0,March
439,2020-03-09,2020,3,9,FL,36,1,0,0,March
440,2020-03-09,2020,3,9,GA,6,5,0,0,March
441,2020-03-09,2020,3,9,HI,2,1,0,0,March
442,2020-03-09,2020,3,9,ID,14,0,0,0,March
443,2020-03-09,2020,3,9,IL,0,1,0,0,March
444,2020-03-09,2020,3,9,IN,9,0,0,0,March
445,2020-03-09,2020,3,9,IA,14,3,0,0,March
446,2020-03-09,2020,3,9,KS,0,0,0,0,March
447,2020-03-09,2020,3,9,KY,7,3,0,0,March
448,2020-03-09,2020,3,9,LA,1,1,0,0,March
449,2020-03-09,2020,3,9,ME,0,0,0,0,March
450,2020-03-09,2020,3,9,MD,0,2,0,0,March
451,2020-03-09,2020,3,9,MA,81,28,0,0,March
452,2020-03-09,2020,3,9,MI,0,121,0,0,March
453,2020-03-09,2020,3,9,MN,35,3,0,0,March
454,2020-03-09,2020,3,9,MS,0,0,0,0,March
455,2020-03-09,2020,3,9,MO,5,0,0,0,March
456,2020-03-09,2020,3,9,MT,0,0,0,0,March
457,2020-03-09,2020,3,9,NE,9,2,0,0,March
458,2020-03-09,2020,3,9,NV,23,1,0,0,March
459,2020-03-09,2020,3,9,NH,17,0,0,0,March
460,2020-03-09,2020,3,9,NJ,13,9,0,0,March
461,2020-03-09,2020,3,9,NM,11,0,0,0,March
462,2020-03-09,2020,3,9,NY,307,28,0,0,March
463,2020-03-09,2020,3,9,NC,0,0,0,0,March
464,2020-03-09,2020,3,9,ND,0,0,0,0,March
465,2020-03-09,2020,3,9,OH,2,3,0,0,March
466,2020-03-09,2020,3,9,OK,0,0,0,0,March
467,2020-03-09,2020,3,9,OR,0,7,0,0,March
468,2020-03-09,2020,3,9,PA,17,4,0,0,March
469,2020-03-09,2020,3,9,RI,18,1,0,0,March
470,2020-03-09,2020,3,9,SC,21,5,0,0,March
471,2020-03-09,2020,3,9,SD,0,0,0,0,March
472,2020-03-09,2020,3,9,TN,0,0,0,0,March
473,2020-03-09,2020,3,9,TX,18,7,0,0,March
474,2020-03-09,2020,3,9,UT,7,0,0,0,March
475,2020-03-09,2020,3,9,VT,5,0,0,0,March
476,2020-03-09,2020,3,9,VA,1,1,0,0,March
